t   x   v
0.0  -0.2  0.0
0.1  -0.18129583  0.35911041
0.2  -0.13210082  0.6026921
0.30000000000000004  -0.06563839  0.7023594
0.4  0.0035563086  0.6599471
0.5  0.062472187  0.50297004
0.6  0.10178518  0.27602664
0.7  0.11704715  0.030280279
0.7999999999999999  0.1088193  -0.18679355
0.8999999999999999  0.081872545  -0.33956036
0.9999999999999999  0.043730844  -0.40908346
1.0999999999999999  0.0029145665  -0.39425683
1.2  -0.03275344  -0.3095257
1.3  -0.05747879  -0.18008539
1.4000000000000001  -0.06827096  -0.03578604
1.5000000000000002  -0.065098986  0.09496394
1.6000000000000003  -0.05048524  0.190183
1.7000000000000004  -0.028689645  0.23743455
1.8000000000000005  -0.00469026  0.23476876
1.9000000000000006  0.016825354  0.18961914
2.0000000000000004  0.032275382  0.116139665
2.1000000000000005  0.039683703  0.031685945
2.2000000000000006  0.03881714  -0.046798542
2.3000000000000007  0.030985467  -0.10581791
2.400000000000001  0.018587602  -0.13730763
2.500000000000001  0.0045221243  -0.13935079
2.600000000000001  -0.008411368  -0.115672424
2.700000000000001  -0.018009525  -0.074174404
2.800000000000001  -0.022984458  -0.024911713
2.9000000000000012  -0.023071447  0.022042613
3.0000000000000013  -0.018934853  0.058438756
3.1000000000000014  -0.0119175585  0.07910229
3.2000000000000015  -0.003701404  0.082450755
3.3000000000000016  0.0040469854  0.07028261
3.4000000000000017  0.009978312  0.04697844
3.5000000000000018  0.013262744  0.01834198
3.600000000000002  0.013669101  -0.009657374
3.700000000000002  0.0115237385  -0.031997263
3.800000000000002  0.0075733913  -0.045387372
3.900000000000002  0.002790352  -0.04862897
4.000000000000002  -0.0018363965  -0.04254268
4.100000000000001  -0.0054840352  -0.029537639
4.200000000000001  -0.0076229824  -0.012950656
4.300000000000001  -0.008072753  0.00369198
4.4  -0.0069863256  0.017344566
4.5  -0.004775805  0.02593107
4.6  -0.0020011384  0.028589137
4.699999999999999  7.5267383E-4  0.02565861
4.799999999999999  0.0029858516  0.018452177
4.899999999999999  0.0043632044  0.008880373
4.999999999999998  0.0047524124  -9.803753E-4
5.099999999999998  0.0042199474  -0.009289871
5.1999999999999975  0.002991272  -0.014747176
5.299999999999997  0.0013875596  -0.016753044
5.399999999999997  -2.462542E-4  -0.015421648
5.4999999999999964  -0.0016077429  -0.011460463
5.599999999999996  -0.0024862783  -0.005958545
5.699999999999996  -0.0027887034  -1.346389E-4
5.799999999999995  -0.002539989  0.0049033463
5.899999999999995  -0.0018622365  0.008345148
5.999999999999995  -9.3887124E-4  0.009784634
6.099999999999994  2.7373811E-5  0.009237697
6.199999999999994  8.5415214E-4  0.007080622
6.299999999999994  0.0014099524  0.0039312397
6.399999999999993  0.0016310298  5.0253794E-4
6.499999999999993  0.0015236111  -0.0025407337
6.5999999999999925  0.0011530208  -0.0046966937
6.699999999999992  6.235314E-4  -0.0056952774
6.799999999999992  5.3909884E-5  -0.005515271
6.8999999999999915  -4.462796E-4  -0.0043535545
6.999999999999991  -7.953948E-4  -0.0025588104
7.099999999999991  -9.5073273E-4  -5.4674974E-4

t   x   v
0.0  -0.2  0.0
0.035  -0.1975972125350572  0.0
0.07  -0.1906106909587706  0.0
0.105  -0.17944128748320448  0.0
0.14  -0.1645689857600239  0.0
0.175  -0.14653742077706927  0.0
0.21  -0.12593767436537393  0.0
0.245  -0.10339176934561968  0.0
0.28  -0.07953627088511676  0.0
0.315  -0.05500638018606956  0.0
0.35  -0.030420874201642793  0.0
0.385  -0.006368206834508681  0.0
0.42  0.016605956727282538  0.0
0.455  0.038009548912558214  0.0
0.49  0.05741307918318306  0.0
0.525  0.07445666365107018  0.0
0.56  0.08885503717932133  0.0
0.595  0.10040053177000016  0.0
0.63  0.1089640543110927  0.0
0.665  0.11449414271754355  0.0
0.7  0.11701422123026288  0.0
0.735  0.1166182123552359  0.0
0.77  0.11346469401400851  0.0
0.805  0.10776981548425847  0.0
0.84  0.09979920435027724  0.0
0.875  0.08985910883957979  0.0
0.91  0.07828702563563647  0.0
0.945  0.06544206272129319  0.0
0.98  0.051695280355191456  0.0
1.015  0.03742024137072414  0.0
1.05  0.02298398517679976  0.0
1.085  0.008738618782839299  0.0
1.12  -0.004986306414262713  0.0
1.155  -0.01789049068998005  0.0
1.19  -0.02970854282325528  0.0
1.225  -0.040214516109188095  0.0
1.26  -0.04922527283370698  0.0
1.295  -0.056602656989915914  0.0
1.33  -0.062254484436832326  0.0
1.365  -0.06613438739834657  0.0
1.4  -0.06824057560187378  0.0
1.435  -0.0686135989747015  0.0
1.47  -0.06733321625503788  0.0
1.505  -0.06451448983383809  0.0
1.54  -0.06030323942047507  0.0
1.575  -0.05487099561612438  0.0
1.61  -0.048409599174745806  0.0
1.645  -0.041125592715007854  0.0
1.68  -0.033234549083859366  0.0
1.715  -0.024955474706125805  0.0
1.75  -0.016505417393185555  0.0
1.785  -0.008094396591723915  0.0
1.82  7.923966095107355E-5  0.0
1.855  0.007832942305175627  0.0
1.89  0.01500350139940711  0.0
1.925  0.02144994455365045  0.0
1.96  0.02705575743773863  0.0
1.995  0.03173040814646547  0.0
2.03  0.0354101747169825  0.0
2.065  0.038058291728329335  0.0
2.1  0.03966444731720636  0.0
2.135  0.040243675814122304  0.0
2.17  0.03983470328794886  0.0
2.205  0.03849781338821597  0.0
2.24  0.03631230885397747  0.0
2.275  0.033373649834224195  0.0
2.31  0.029790353712727816  0.0
2.345  0.02568074247932019  0.0
2.38  0.021169622920272337  0.0
2.415  0.016384982139310163  0.0
2.45  0.01145477633553244  0.0
2.485  0.006503884557588159  0.0
2.52  0.001651291555719301  0.0
2.555  -0.0029924448832181626  0.0
2.59  -0.007327396341536249  0.0
2.625  -0.011266100348877945  0.0
2.66  -0.01473500609726455  0.0
2.695  -0.01767551484807515  0.0
2.73  -0.02004461097895287  0.0
2.765  -0.021815089576544263  0.0
2.8  -0.022975395788910963  0.0
2.835  -0.023529099620940706  0.0
2.87  -0.023494037328276308  0.0
2.905  -0.022901156913198904  0.0
2.94  -0.021793110355846284  0.0
2.975  -0.02022263906621943  0.0
3.01  -0.01825080159023558  0.0
3.045  -0.015945093852643883  0.0
3.08  -0.013377512207568  0.0
3.115  -0.010622608358588146  0.0
3.15  -0.007755582894633846  0.0
3.185  -0.00485046087728595  0.0
3.22  -0.001978388739137818  0.0
3.255  7.939131446407519E-4  0.0
3.29  0.0034055133148942545  0.0
3.325  0.005802424494845078  0.0
3.36  0.007938534364046025  0.0
3.395  0.00977630115135865  0.0
3.43  0.011287209506913476  0.0
3.465  0.012451988055197996  0.0
3.5  0.01326059563629149  0.0
3.535  0.013711988393572655  0.0
3.57  0.013813684464462524  0.0
3.605  0.013581146994692561  0.0
3.64  0.013037009464229744  0.0
3.675  0.012210169842126365  0.0
3.71  0.011134781855721091  0.0
3.745  0.009849172663604383  0.0
3.78  0.008394716476744439  0.0
3.815  0.00681469321038579  0.0
3.85  0.00515316011843903  0.0
3.885  0.0034538626232367194  0.0
3.92  0.0017592082792492656  0.0
3.955  1.0932508119255598E-4  0.0
3.99  -0.0014587777668868525  0.0
4.025  -0.0029119318720964354  0.0
4.06  -0.004221403259540335  0.0
4.095  -0.005363349994026493  0.0
4.13  -0.00631913987146344  0.0
4.165  -0.007075527769592956  0.0
4.2  -0.007624695611507276  0.0
4.235  -0.00796416101681062  0.0
4.27  -0.00809656353234949  0.0
4.305  -0.008029339795621293  0.0
4.34  -0.007774301048853197  0.0
4.375  -0.007347128061409564  0.0
4.41  -0.00676679971532712  0.0
4.445  -0.006054972257512034  0.0
4.48  -0.005235326527561022  0.0
4.515  -0.004332900347688105  0.0
4.55  -0.0033734227356523702  0.0
